zone,packagetype,total_cost,avg_weight,usps_pct,fedex_pct,p2p_pct,usps_avg,fedex_avg,p2p_avg
5,"CROSS PACKAGING 40X30""",4761.45,13.2,0.9,93.8,5.3,14.85,14.44,5.41
5,MUG BOX 9x7x5,1832.09,1.8,31.3,1.8,67.0,7.48,8.25,4.36
5,MUG BOX 16x6x4,1673.79,3.0,23.6,19.1,57.3,8.82,8.58,4.45
5,Carpet Box 22x4x4,1644.21,1.4,17.4,17.4,65.3,10.68,8.7,4.35
5,PIZZA BOX 36x24x2 (3x strapped),3577.21,24.9,0.0,94.1,5.9,,18.13,9.47
5,POLY BAG 12x15,898.46,0.7,80.1,1.0,18.9,4.46,8.64,4.3
5,WRAP 36''x24'' [x2],1953.69,8.5,0.0,76.9,23.1,,15.17,8.63
5,MIXPIX BOX_(2),673.72,2.4,31.0,3.4,65.5,8.22,8.64,4.51
5,PIZZA BOX 40x30x2 (3x strapped),3252.99,32.5,0.0,100.0,0.0,,28.29,
5,"CROSS PACKAGING 40X40""",2083.5,16.8,0.0,100.0,0.0,,18.28,
5,PIZZA BOX 40x30x2 (2x strapped),2111.26,16.6,0.0,100.0,0.0,,22.46,
5,WRAP 36''x24'',804.44,9.2,1.1,44.9,53.9,16.4,13.1,5.5
5,PIZZA BOX 24x20x2 (3x strapped),912.81,16.6,0.0,44.8,55.2,,14.76,7.03
5,Carpet Box 37x5x5,592.73,3.6,9.8,35.4,54.9,12.18,9.97,4.58
5,MIXPIX BOX_(4),267.12,0.5,98.4,0.0,1.6,4.17,,4.44
5,WRAP 27''x23'',400.96,5.9,9.8,31.4,58.8,13.41,11.94,4.76
5,PIZZA BOX 27x23x2 (2x strapped),538.49,17.4,0.0,64.4,35.6,,14.59,7.21
5,PIZZA BOX 30x20x3 (3x strapped),583.72,27.2,0.0,97.4,2.6,,15.5,10.18
5,WRAP 40''x30'',193.19,6.2,0.0,100.0,0.0,,14.86,
5,PIZZA BOX 27x23x2 (3x strapped),146.15,24.3,0.0,90.0,10.0,,15.25,8.86
5,WRAP 36''x24'' [x3],113.73,33.1,0.0,100.0,0.0,,16.25,
6,PIZZA BOX 20x16x1,39247.07,1.3,61.2,6.7,32.1,7.34,8.56,4.48
6,PIZZA BOX 12x8x1,13354.56,0.7,64.9,2.0,33.1,4.99,8.32,4.21
6,WRAP 16''x12'',15423.27,1.3,61.5,8.7,29.7,7.2,8.53,4.4
6,PIZZA BOX 24x20x2,21401.28,4.3,6.5,65.2,28.4,12.56,11.04,4.73
6,PIZZA BOX 16x12x2,16815.4,2.2,39.1,28.7,32.2,9.06,8.59,4.49
6,PIZZA BOX 36x24x2,25341.8,6.1,0.0,85.9,14.1,,12.77,5.18
6,PIZZA BOX 20x16x2,17115.05,3.2,33.5,38.4,28.1,10.59,9.44,4.58
6,PIZZA BOX 48X36X1,32532.76,7.9,0.0,100.0,0.0,,20.37,
6,PIZZA BOX 40x30x1,14146.54,3.5,11.6,88.4,0.0,12.69,10.78,
6,WRAP 24''x16'',9888.67,2.6,8.8,53.7,37.5,12.53,9.46,4.48
6,PIZZA BOX 42x32x2,19267.05,9.2,0.0,100.0,0.0,,19.02,
6,"CROSS PACKAGING 30X24""",7919.26,6.2,0.1,65.6,34.3,17.25,11.45,4.8
6,"21"" Tube",4435.11,0.7,54.3,26.5,19.1,7.43,8.49,4.38
6,PIZZA BOX 30x20x3,5927.43,5.7,0.0,64.7,35.3,,13.01,5.11
6,PIZZA BOX 42x32x2 (2x strapped),8274.13,21.1,0.0,100.0,0.0,,30.64,
6,"26"" Tube",1597.27,0.8,55.7,7.3,37.0,7.61,8.54,4.4
6,MUG BOX 16x12x8,2186.33,4.9,38.4,35.0,26.6,11.12,10.49,4.82
6,POLY BAG 9x12,1194.52,0.8,57.6,7.6,34.7,5.05,8.27,4.38
6,MUG BOX 5x5x5,1121.55,0.9,67.3,0.0,32.7,5.61,,4.26
6,"",1286.67,2.2,18.4,44.7,36.9,9.45,8.52,4.45
6,MIXPIX BOX,908.65,1.2,46.8,15.6,37.7,6.25,8.46,4.41
6,PIZZA BOX 27x23x2,1685.88,7.3,0.0,75.5,24.5,,13.53,5.1
6,PIZZA BOX 40x30x2,2414.28,7.6,0.0,100.0,0.0,,17.0,
6,PIZZA BOX 24x20x2 (2x strapped),1667.79,10.6,0.0,82.1,17.9,,13.26,5.71
6,"CROSS PACKAGING 40X30""",2240.93,12.8,0.0,97.8,2.2,,16.57,6.81
6,BOX 16x24x12,1571.44,9.5,0.0,73.1,26.9,,16.85,8.29
6,BUBBLE MAILER 9x14,463.39,0.4,88.6,1.9,9.5,4.36,8.25,4.18
6,PIZZA BOX 30x20x3 (2x strapped),1417.45,11.4,0.0,68.6,31.4,,16.63,7.92
6,"CROSS PACKAGING 49X30""",2462.32,17.4,0.0,100.0,0.0,,24.87,
6,"POLY BAG 14,5x19",838.28,4.0,24.5,40.8,34.7,11.53,9.95,4.81
6,PIZZA BOX 36x24x2 (2x strapped),1328.45,14.9,0.0,82.1,17.9,,17.58,7.69
6,MUG BOX 9x7x5,523.46,1.7,41.7,34.7,23.6,8.08,8.26,4.37
6,PIZZA BOX 36x24x2 (3x strapped),1268.93,25.0,0.0,93.7,6.3,,20.85,9.68
6,MUG BOX 16x6x4,466.72,2.9,32.8,34.4,32.8,9.88,8.53,4.5
6,PIZZA BOX 42x32x2 (3x strapped),1965.42,37.7,0.0,100.0,0.0,,35.1,
6,Carpet Box 22x4x4,338.05,1.4,13.0,52.2,34.8,11.64,8.25,4.38
6,PIZZA BOX 40x30x2 (3x strapped),1323.13,34.2,0.0,100.0,0.0,,33.08,
6,WRAP 36''x24'',348.23,8.9,0.0,71.9,28.1,,13.09,5.25
6,PIZZA BOX 24x20x2 (3x strapped),423.36,16.1,0.0,71.9,28.1,,15.67,6.99
6,MIXPIX BOX_(2),223.12,2.4,33.3,30.0,36.7,9.33,8.88,4.54
6,WRAP 36''x24'' [x2],439.19,8.1,0.0,85.2,14.8,,17.57,8.76
6,PIZZA BOX 40x30x2 (2x strapped),658.61,14.6,0.0,100.0,0.0,,26.34,
6,"CROSS PACKAGING 40X40""",529.04,17.1,0.0,100.0,0.0,,22.04,
6,POLY BAG 12x15,117.8,0.6,62.5,0.0,37.5,5.28,,4.3
6,MIXPIX BOX_(4),106.32,0.8,85.7,0.0,14.3,5.17,,4.4
6,WRAP 27''x23'',155.36,6.3,0.0,68.8,31.2,,11.93,4.83
6,Carpet Box 37x5x5,130.4,3.4,21.4,42.9,35.7,12.54,11.58,4.66
6,PIZZA BOX 27x23x2 (2x strapped),131.28,14.9,0.0,70.0,30.0,,15.59,7.38
6,PIZZA BOX 27x23x2 (3x strapped),97.54,26.2,0.0,83.3,16.7,,17.74,8.86
6,WRAP 40''x30'',43.65,5.9,0.0,100.0,0.0,,14.55,
6,PIZZA BOX 30x20x3 (3x strapped),18.4,28.2,0.0,100.0,0.0,,18.4,
7,PIZZA BOX 20x16x1,51474.18,1.3,43.2,54.8,2.0,7.37,8.85,4.83
