zone,packagetype,total_ships,total_cost,avg_weight_lbs,usps_ships,usps_pct,usps_cost,usps_avg,fedex_ships,fedex_pct,fedex_cost,fedex_avg,p2p_ships,p2p_pct,p2p_cost,p2p_avg,fedex_sp_ships,fedex_hd_ships
4,BOX 16x24x12,513,5936.57,9.64,0,0.0,0.0,,462,90.1,5520.19,11.95,51,9.9,416.38,8.16,0,462
4,MUG BOX 9x7x5,512,2713.01,1.72,250,48.8,1589.33,6.36,0,0.0,0.0,,262,51.2,1123.68,4.29,0,0
4,PIZZA BOX 30x20x3 (2x strapped),497,5660.53,10.95,0,0.0,0.0,,384,77.3,4795.49,12.49,113,22.7,865.04,7.66,4,380
4,Carpet Box 22x4x4,422,2538.79,1.39,57,13.5,562.27,9.86,104,24.6,858.35,8.25,261,61.8,1118.17,4.28,104,0
4,PIZZA BOX 40x30x2,407,5108.18,7.95,1,0.2,13.18,13.18,406,99.8,5095.0,12.55,0,0.0,0.0,,195,211
4,PIZZA BOX 36x24x2 (2x strapped),403,4995.02,15.87,0,0.0,0.0,,329,81.6,4444.41,13.51,74,18.4,550.61,7.44,52,277
4,MUG BOX 16x6x4,369,2393.03,2.92,179,48.5,1327.2,7.41,61,16.5,503.45,8.25,129,35.0,562.38,4.36,61,0
4,"CROSS PACKAGING 40X30""",365,4608.84,12.71,4,1.1,56.0,14.0,349,95.6,4489.31,12.86,12,3.3,63.53,5.29,142,207
4,POLY BAG 12x15,323,1334.05,0.64,277,85.8,1135.96,4.1,0,0.0,0.0,,46,14.2,198.09,4.31,0,0
4,PIZZA BOX 42x32x2 (3x strapped),315,8654.41,36.77,0,0.0,0.0,,315,100.0,8654.41,27.47,0,0.0,0.0,,134,181
4,WRAP 36''x24'' [x2],231,2934.53,7.39,0,0.0,0.0,,207,89.6,2729.6,13.19,24,10.4,204.93,8.54,0,207
4,PIZZA BOX 36x24x2 (3x strapped),228,3381.15,23.95,0,0.0,0.0,,223,97.8,3334.67,14.95,5,2.2,46.48,9.3,0,223
4,MIXPIX BOX_(2),168,1106.53,2.18,53,31.5,384.98,7.26,56,33.3,462.19,8.25,59,35.1,259.36,4.4,56,0
4,"CROSS PACKAGING 40X40""",153,2380.6,16.4,0,0.0,0.0,,153,100.0,2380.6,15.56,0,0.0,0.0,,152,1
4,PIZZA BOX 40x30x2 (2x strapped),137,2682.74,16.52,0,0.0,0.0,,137,100.0,2682.74,19.58,0,0.0,0.0,,136,1
4,MIXPIX BOX_(4),130,515.55,0.64,125,96.2,482.15,3.86,3,2.3,24.76,8.25,2,1.5,8.64,4.32,3,0
4,PIZZA BOX 40x30x2 (3x strapped),125,3121.16,34.1,0,0.0,0.0,,125,100.0,3121.16,24.97,0,0.0,0.0,,35,90
4,Carpet Box 37x5x5,117,944.63,3.29,28,23.9,297.59,10.63,64,54.7,535.55,8.37,25,21.4,111.49,4.46,64,0
4,PIZZA BOX 24x20x2 (3x strapped),99,1043.07,15.81,0,0.0,0.0,,65,65.7,809.38,12.45,34,34.3,233.69,6.87,4,61
4,WRAP 27''x23'',90,707.15,5.14,14,15.6,160.64,11.47,46,51.1,406.67,8.84,30,33.3,139.84,4.66,45,1
4,WRAP 36''x24'',85,740.13,9.32,2,2.4,27.71,13.86,43,50.6,502.42,11.68,40,47.1,210.0,5.25,0,43
4,PIZZA BOX 27x23x2 (2x strapped),59,591.37,15.63,0,0.0,0.0,,31,52.5,401.63,12.96,28,47.5,189.74,6.78,0,31
4,PIZZA BOX 30x20x3 (3x strapped),50,643.65,24.26,0,0.0,0.0,,49,98.0,633.47,12.93,1,2.0,10.18,10.18,0,49
4,WRAP 40''x30'',28,325.06,7.61,0,0.0,0.0,,28,100.0,325.06,11.61,0,0.0,0.0,,1,27
4,WRAP 36''x24'' [x3],21,314.75,31.17,0,0.0,0.0,,21,100.0,314.75,14.99,0,0.0,0.0,,0,21
4,PIZZA BOX 27x23x2 (3x strapped),12,151.83,26.85,0,0.0,0.0,,11,91.7,142.97,13.0,1,8.3,8.86,8.86,0,11
4,WRAP 40''x30'' [x3],4,106.02,22.17,0,0.0,0.0,,4,100.0,106.02,26.5,0,0.0,0.0,,2,2
4,PAPIER-VERSANDTASCHE klein 250x353x50,1,4.31,1.1,0,0.0,0.0,,0,0.0,0.0,,1,100.0,4.31,4.31,0,0
5,PIZZA BOX 20x16x1,28082,169299.65,1.27,11809,42.1,78459.82,6.64,4971,17.7,41113.31,8.27,11302,40.2,49726.52,4.4,4948,23
5,PIZZA BOX 12x8x1,13425,59075.35,0.69,6412,47.8,29528.68,4.61,75,0.6,629.48,8.39,6938,51.7,28917.19,4.17,74,1
5,PIZZA BOX 16x12x2,10582,69618.09,2.19,4128,39.0,33256.09,8.06,2014,19.0,16789.84,8.34,4440,42.0,19572.16,4.41,1981,33
5,WRAP 16''x12'',10018,53951.72,1.31,3913,39.1,26183.09,6.69,288,2.9,2419.49,8.4,5817,58.1,25349.14,4.36,275,13
5,PIZZA BOX 24x20x2,9974,76228.83,4.28,1624,16.3,19749.08,12.16,2870,28.8,30814.11,10.74,5480,54.9,25665.64,4.68,2642,228
5,PIZZA BOX 36x24x2,9247,96240.79,6.02,126,1.4,1886.61,14.97,6515,70.5,80936.32,12.42,2606,28.2,13417.86,5.15,469,6046
5,PIZZA BOX 20x16x2,8627,57262.37,3.2,3246,37.6,28855.61,8.89,847,9.8,7881.22,9.3,4534,52.6,20525.54,4.53,815,32
5,PIZZA BOX 42x32x2,6683,107326.37,8.95,0,0.0,0.0,,6683,100.0,107326.37,16.06,0,0.0,0.0,,6682,1
5,WRAP 24''x16'',5517,39567.82,2.62,956,17.3,10658.22,11.15,2105,38.2,18097.65,8.6,2456,44.5,10811.95,4.4,2044,61
5,PIZZA BOX 40x30x1,4972,51841.74,3.32,1296,26.1,15432.39,11.91,3676,73.9,36409.35,9.9,0,0.0,0.0,,3565,111
5,PIZZA BOX 48X36X1,4944,87037.95,8.04,0,0.0,0.0,,4944,100.0,87037.95,17.6,0,0.0,0.0,,4943,1
5,"CROSS PACKAGING 30X24""",3756,26811.0,6.01,196,5.2,2515.01,12.83,1150,30.6,12818.43,11.15,2410,64.2,11477.56,4.76,1046,104
5,"21"" Tube",2812,17156.37,0.6,875,31.1,6350.15,7.26,608,21.6,5063.41,8.33,1329,47.3,5742.81,4.32,608,0
5,PIZZA BOX 30x20x3,2494,20957.34,5.51,41,1.6,634.88,15.48,973,39.0,12843.01,13.2,1480,59.3,7479.45,5.05,135,838
5,POLY BAG 9x12,1178,5378.46,0.84,417,35.4,2037.44,4.89,7,0.6,57.77,8.25,754,64.0,3283.25,4.35,7,0
5,MUG BOX 16x12x8,1169,8104.26,4.56,353,30.2,3417.75,9.68,147,12.6,1484.48,10.1,669,57.2,3202.03,4.79,137,10
5,"26"" Tube",1128,6195.42,0.66,357,31.6,2586.13,7.24,62,5.5,522.91,8.43,709,62.9,3086.38,4.35,62,0
5,MUG BOX 5x5x5,1040,4727.66,0.89,353,33.9,1823.17,5.16,1,0.1,8.25,8.25,686,66.0,2896.24,4.22,1,0
5,PIZZA BOX 42x32x2 (2x strapped),724,18619.07,22.91,0,0.0,0.0,,724,100.0,18619.07,25.72,0,0.0,0.0,,542,182
5,MIXPIX BOX,670,3438.62,1.23,295,44.0,1744.86,5.91,12,1.8,107.36,8.95,363,54.2,1586.4,4.37,12,0
5,"CROSS PACKAGING 49X30""",639,13058.24,17.97,0,0.0,0.0,,639,100.0,13058.24,20.44,0,0.0,0.0,,632,7
5,"",627,3913.1,2.21,189,30.1,1520.23,8.04,121,19.3,998.65,8.25,317,50.6,1394.22,4.4,121,0
5,PIZZA BOX 27x23x2,588,5066.91,7.36,11,1.9,154.46,14.04,244,41.5,3245.47,13.3,333,56.6,1666.98,5.01,40,204
