packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
"CROSS PACKAGING 40X30""",true,11-15,425,FEDEX,15.15,25.58,15.15,36.58
"CROSS PACKAGING 40X30""",true,16-20,128,FEDEX,14.77,25.49,14.77,39.23
"CROSS PACKAGING 40X30""",true,21+,41,FEDEX,15.1,200.0,15.1,36.61
PIZZA BOX 36x24x2 (2x strapped),false,7-10,53,FEDEX,16.78,75.79,16.78,
PIZZA BOX 36x24x2 (2x strapped),false,11-15,375,FEDEX,15.67,77.13,15.67,
PIZZA BOX 36x24x2 (2x strapped),false,16-20,253,FEDEX,16.14,82.86,16.14,
PIZZA BOX 36x24x2 (2x strapped),false,21+,99,FEDEX,19.33,200.0,19.33,
PIZZA BOX 36x24x2 (2x strapped),true,4-6,4,P2P,7.46,75.5,14.06,7.46
PIZZA BOX 36x24x2 (2x strapped),true,7-10,38,P2P,7.78,75.84,16.15,7.78
PIZZA BOX 36x24x2 (2x strapped),true,11-15,303,P2P,7.67,75.62,14.76,7.67
PIZZA BOX 36x24x2 (2x strapped),true,16-20,249,P2P,13.0,91.68,15.55,12.99
PIZZA BOX 36x24x2 (2x strapped),true,21+,105,FEDEX,17.58,200.0,17.58,23.99
PIZZA BOX 42x32x2 (3x strapped),false,16-20,1,FEDEX,25.48,178.62,25.48,
PIZZA BOX 42x32x2 (3x strapped),false,21+,568,FEDEX,35.02,200.0,35.02,
PIZZA BOX 42x32x2 (3x strapped),true,21+,564,FEDEX,29.55,200.0,29.55,44.24
MUG BOX 16x6x4,false,1-3,320,FEDEX,9.2,8.29,10.19,
MUG BOX 16x6x4,false,4-6,174,FEDEX,10.63,9.31,10.63,
MUG BOX 16x6x4,true,1-3,342,P2P,4.45,8.33,9.17,4.45
MUG BOX 16x6x4,true,4-6,294,P2P,4.55,9.43,9.15,4.53
Carpet Box 22x4x4,false,1-3,447,FEDEX,9.83,10.38,9.83,
Carpet Box 22x4x4,true,1-3,665,P2P,4.37,10.58,8.82,4.37
POLY BAG 12x15,false,1-3,369,USPS,4.62,4.62,10.4,
POLY BAG 12x15,false,4-6,2,FEDEX,9.29,11.13,9.29,
POLY BAG 12x15,true,1-3,452,P2P,4.37,4.75,9.14,4.36
POLY BAG 12x15,true,4-6,1,FEDEX,11.55,6.83,11.55,4.46
PIZZA BOX 36x24x2 (3x strapped),false,11-15,51,FEDEX,14.88,77.9,14.88,
PIZZA BOX 36x24x2 (3x strapped),false,16-20,96,FEDEX,16.52,84.67,16.52,
PIZZA BOX 36x24x2 (3x strapped),false,21+,242,FEDEX,20.5,200.0,20.5,
PIZZA BOX 36x24x2 (3x strapped),true,11-15,62,P2P,9.64,77.9,14.22,9.64
PIZZA BOX 36x24x2 (3x strapped),true,16-20,70,FEDEX,15.21,86.53,15.93,12.09
PIZZA BOX 36x24x2 (3x strapped),true,21+,256,FEDEX,19.19,200.0,19.19,31.69
WRAP 36''x24'' [x2],false,4-6,124,FEDEX,15.09,77.51,15.09,
WRAP 36''x24'' [x2],false,7-10,159,FEDEX,15.19,77.75,15.19,
WRAP 36''x24'' [x2],false,11-15,32,FEDEX,15.08,77.23,15.08,
WRAP 36''x24'' [x2],false,16-20,7,FEDEX,14.6,76.57,14.6,
WRAP 36''x24'' [x2],false,21+,13,FEDEX,22.17,200.0,22.17,
WRAP 36''x24'' [x2],true,4-6,122,P2P,8.72,77.41,14.99,8.72
WRAP 36''x24'' [x2],true,7-10,143,P2P,8.72,77.66,14.31,8.72
WRAP 36''x24'' [x2],true,11-15,18,P2P,9.68,78.32,14.02,8.79
WRAP 36''x24'' [x2],true,16-20,7,FEDEX,14.44,76.11,14.44,8.8
WRAP 36''x24'' [x2],true,21+,7,FEDEX,12.66,200.0,12.66,13.91
MIXPIX BOX_(2),false,1-3,165,USPS,8.24,8.24,10.21,
MIXPIX BOX_(2),false,4-6,31,USPS,9.26,9.26,10.98,
MIXPIX BOX_(2),true,1-3,235,P2P,4.53,7.7,9.87,4.53
MIXPIX BOX_(2),true,4-6,73,P2P,4.58,9.94,9.2,4.58
"CROSS PACKAGING 40X40""",false,7-10,1,FEDEX,13.46,154.09,13.46,
"CROSS PACKAGING 40X40""",false,11-15,76,FEDEX,15.96,154.19,15.96,
"CROSS PACKAGING 40X40""",false,16-20,118,FEDEX,18.84,176.55,18.84,
"CROSS PACKAGING 40X40""",false,21+,34,FEDEX,19.65,200.0,19.65,
"CROSS PACKAGING 40X40""",true,7-10,1,FEDEX,25.99,253.01,25.99,40.59
"CROSS PACKAGING 40X40""",true,11-15,75,FEDEX,17.02,170.46,17.02,39.28
"CROSS PACKAGING 40X40""",true,16-20,110,FEDEX,18.4,183.09,18.4,39.42
"CROSS PACKAGING 40X40""",true,21+,29,FEDEX,22.3,200.0,22.3,40.15
PIZZA BOX 40x30x2 (2x strapped),false,4-6,13,FEDEX,18.95,170.55,18.95,
PIZZA BOX 40x30x2 (2x strapped),false,7-10,18,FEDEX,23.81,183.97,23.81,
PIZZA BOX 40x30x2 (2x strapped),false,11-15,36,FEDEX,22.1,181.0,22.1,
PIZZA BOX 40x30x2 (2x strapped),false,16-20,65,FEDEX,25.31,186.98,25.31,
PIZZA BOX 40x30x2 (2x strapped),false,21+,65,FEDEX,27.2,200.0,27.2,
PIZZA BOX 40x30x2 (2x strapped),true,4-6,5,FEDEX,17.44,166.99,17.44,39.04
PIZZA BOX 40x30x2 (2x strapped),true,7-10,43,FEDEX,20.01,178.94,20.01,39.33
PIZZA BOX 40x30x2 (2x strapped),true,11-15,33,FEDEX,22.38,189.02,22.38,39.44
PIZZA BOX 40x30x2 (2x strapped),true,16-20,103,FEDEX,22.98,168.98,22.98,39.29
PIZZA BOX 40x30x2 (2x strapped),true,21+,60,FEDEX,24.59,200.0,24.59,39.61
PIZZA BOX 40x30x2 (3x strapped),false,1-3,1,FEDEX,18.19,131.49,18.19,
PIZZA BOX 40x30x2 (3x strapped),false,4-6,5,FEDEX,25.8,177.45,25.8,
PIZZA BOX 40x30x2 (3x strapped),false,7-10,7,FEDEX,24.32,179.16,24.32,
PIZZA BOX 40x30x2 (3x strapped),false,11-15,10,FEDEX,26.32,181.82,26.32,
PIZZA BOX 40x30x2 (3x strapped),false,16-20,9,FEDEX,21.75,156.45,21.75,
PIZZA BOX 40x30x2 (3x strapped),false,21+,178,FEDEX,32.35,200.0,32.35,
PIZZA BOX 40x30x2 (3x strapped),true,4-6,3,FEDEX,25.12,179.53,25.12,39.7
PIZZA BOX 40x30x2 (3x strapped),true,7-10,6,FEDEX,25.66,188.75,25.66,39.85
PIZZA BOX 40x30x2 (3x strapped),true,11-15,9,FEDEX,22.15,164.11,22.15,40.03
