zip_code,das_type_hd,das_type_sp
05489,DAS_EXTENDED,DAS_EXTENDED
05491,DAS_EXTENDED,DAS_EXTENDED
05494,DAS,DAS
05602,DAS,DAS
05641,DAS,DAS
05648,DAS_EXTENDED,
05649,,DAS
05650,,DAS_EXTENDED
05651,DAS_EXTENDED,DAS_EXTENDED
05652,DAS_EXTENDED,DAS_EXTENDED
05654,DAS,
05655,DAS_EXTENDED,DAS_EXTENDED
05658,DAS_EXTENDED,DAS_EXTENDED
05660,DAS_EXTENDED,DAS_EXTENDED
05661,DAS,DAS
05663,DAS,DAS
05664,DAS,
05667,,DAS_EXTENDED
05672,DAS,
05673,DAS_EXTENDED,
05674,DAS_EXTENDED,
05675,DAS_EXTENDED,
05676,DAS,DAS
05677,DAS,DAS
05679,DAS_EXTENDED,DAS_EXTENDED
05680,DAS_EXTENDED,DAS_EXTENDED
05732,,DAS_EXTENDED
05733,DAS_EXTENDED,DAS_EXTENDED
05734,DAS_EXTENDED,DAS_EXTENDED
05735,,DAS_EXTENDED
05737,DAS_EXTENDED,DAS_EXTENDED
05738,,DAS_EXTENDED
05743,DAS_EXTENDED,DAS_EXTENDED
05751,DAS_EXTENDED,DAS_EXTENDED
05753,DAS,DAS
05757,DAS_EXTENDED,
05760,,DAS_EXTENDED
05761,DAS_EXTENDED,DAS_EXTENDED
05762,,DAS_EXTENDED
05763,DAS_EXTENDED,DAS_EXTENDED
05764,,DAS_EXTENDED
05765,,DAS
05767,DAS_EXTENDED,DAS_EXTENDED
05769,DAS_EXTENDED,DAS_EXTENDED
05773,DAS_EXTENDED,
05774,DAS_EXTENDED,
05775,,DAS_EXTENDED
05777,DAS_EXTENDED,DAS_EXTENDED
05819,DAS,DAS
05820,DAS_EXTENDED,
05821,,DAS_EXTENDED
05822,DAS_EXTENDED,DAS_EXTENDED
05826,DAS_EXTENDED,DAS_EXTENDED
05828,,DAS_EXTENDED
05829,DAS,DAS
05830,,DAS
05832,DAS_EXTENDED,DAS_EXTENDED
05833,,DAS_EXTENDED
05836,,DAS_EXTENDED
05840,,DAS_EXTENDED
05843,DAS_EXTENDED,DAS_EXTENDED
05845,DAS_REMOTE,
05846,DAS_EXTENDED,DAS_EXTENDED
05847,DAS_EXTENDED,
05850,DAS,
05851,DAS,DAS
05853,DAS_REMOTE,
05855,DAS,DAS
05857,,DAS_EXTENDED
05859,DAS_EXTENDED,
05860,DAS_EXTENDED,DAS_EXTENDED
05862,DAS_EXTENDED,DAS_EXTENDED
05866,DAS_EXTENDED,DAS_EXTENDED
05871,DAS_EXTENDED,
05872,DAS_EXTENDED,
05873,DAS_EXTENDED,
05874,,DAS_EXTENDED
06001,DAS,DAS
06013,DAS,DAS
06016,DAS,DAS
06018,DAS,
06019,DAS,DAS
